Unique Identifier,Model Number,Number of Processors (chips,Number of Cores (Threads),Total Number of Threads,Frequency,L1Cache,L2Cache,L3Cache,OtherCache,Front Side Bus,Multiplier,CPU Voltage,Thermal Design Power (W),Scenario Design Power,Socket,Socket Configuration,Release Date,Part Numbers,SSpec Number,Processor Release Price(USD),Turbo Boost,GPU Model,GPU Frequency,I/O Bus,Accepted Memory,Addressable Memory,Transistors,Manufacturing Process,Typical Use,Cache,Motherboard,Benchmarked System Memory,Floating Point Unit,Other Hardware,Disk Subsystem,Operating System,Compiler,File System,System State,Kernel Extensions,Other Software,SPEC License #,SPEC Integer 95,SPEC Floating Point 95,SPEC Integer Rate 95,SPEC Floating Point Rate 95,SPEC Integer 2006,SPEC Floating Point 2006,SPEC Integer Rate 2006,SPEC Floating Point Rate 2006,CPU Characteristics,Auto Parallel,Parallel,Firmware,Base Pointers,Peak Pointers,Total System Cost,TPC Performance,Cluster,Load Time (hours),Total Storage/Database Size Ratio,Number of Storage Devices,Redundancy Level,Data Generation Time (hours),Data Sort Time (hours),Data Validation Time (hours),Node Count,Concurrent Streams,Storage Ratio,Memory Ratio,Load Test Time,Power Test Time,Throughput Test Time,Green 500 Rank,Rmax,Power,How?,MFLOPS/Watt,Total Cores,Year,Name,Manufacturer,Computer,Site,Country,Segment,Top500 Rank,Accelerator/Coprocessor Cores,RPeak,Efficiency(%),NMax,Architecture,Processor Technology,OS Family,Accelerator/Coprocessor,Cores Per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Region,Continent,Power Source,NHalf,Notes,Green500 Previous Rank,Top500 Previous Rank,First Appearance,First Rank,Power Efficiency[GFLOPS/Watt],Power Quality Level,Measured Cores,Optimized Run (HPL),Optimized Run (Peak Power),Site ID,System ID,Authors,Conversion To XML,Date,Schema By,System Address,Installation Site Address,Area of Installation,System Name,Town,State,Power Measured Size,Measured Size,3DMark CPU Score,P3Mark,CPUmark,SingleThreadMark,SPEC 2017 Integer Base Speed,SPEC 2017 Integer Peak Speed,SPEC 2017 Floating Point Base Speed,SPEC 2017 Floating Point Peak Speed,SPEC 2017 Integer Base Rate,SPEC 2017 Integer Peak Rate,SPEC 2017 Floating Point Base Rate,SPEC 2017 Floating Point Peak Rate,Graph500 Rank,Previous Graph500 Rank,Application,Usage,Scale,GTEPS,C_Time,Network,HPCG [TFlop/s],Application Area,Information Source,
PI0000,Intel® Core™ i9-7980XE Extreme Edition Processor,,18,,2.60 GHz,,,,,8 GT/s DMI3,,,165 W,,,,Q3'17,,,,4.20 GHz,,,,,,,,,24.75 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ark.intel.com/products/126699/Intel-Core-i9-7980XE-Extreme-Edition-Processor-24_75M-Cache-up-to-4_20-GHz
PI0001,Intel® Core™ i9-7960X X-series Processor,,16,,2.80 GHz,,,,,8 GT/s DMI3,,,165 W,,,,Q3'17,,,,4.20 GHz,,,,,,,,,22 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ark.intel.com/products/126697/Intel-Core-i9-7960X-X-series-Processor-22M-Cache-up-to-4_20-GHz
PI0002,Intel® Core™ i9-7940X X-series Processor,,14,,3.10 GHz,,,,,8 GT/s DMI3,,,165 W,,,,Q3'17,,,,4.30 GHz,,,,,,,,,19.25 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ark.intel.com/products/126695/Intel-Core-i9-7940X-X-series-Processor-19_25M-Cache-up-to-4_30-GHz
PI0003,Intel® Core™ i9-7920X X-series Processor,,12,,2.90 GHz,,,,,8 GT/s DMI3,,,140 W,,,,Q3'17,,,,4.30 GHz,,,,,,,14 nm,,16.5 MB L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ark.intel.com/products/126240/Intel-Core-i9-7920X-X-series-Processor-16_50M-Cache-up-to-4_30-GHz
PI0004,Intel® Core™ i9-7900X X-series Processor,,10,,3.30 GHz,,,,,8 GT/s DMI3,,,140 W,,,,Q2'17,,,,4.30 GHz,,,,,,,14 nm,,13.75 MB L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ark.intel.com/products/123613/Intel-Core-i9-7900X-X-series-Processor-13_75M-Cache-up-to-4_30-GHz
PI0005,Intel® Core™ i7-7820X X-series Processor,,8,,3.60 GHz,,,,,8 GT/s DMI3,,,140 W,,,,Q2'17,,,,4.30 GHz,,,,,,,14 nm,,11 MB L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ark.intel.com/products/123767/Intel-Core-i7-7820X-X-series-Processor-11M-Cache-up-to-4_30-GHz
PI0006,Intel® Core™ i7-7800X X-series Processor,,6,,3.50 GHz,,,,,8 GT/s DMI3,,,140 W,,,,Q2'17,,,,4.00 GHz,,,,,,,14 nm,,8.25 MB L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ark.intel.com/products/123589/Intel-Core-i7-7800X-X-series-Processor-8_25M-Cache-up-to-4_00-GHz
PI0007,Intel® Core™ i7-7740X X-series Processor,,4,,4.30 GHz,,,,,8 GT/s DMI3,,,112 W,,,,Q2'17,,,,4.50 GHz,,,,,,,14 nm,,8 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ark.intel.com/products/121499/Intel-Core-i7-7740X-X-series-Processor-8M-Cache-up-to-4_50-GHz
PI0008,Intel® Core™ i5-7640X X-series Processor,,4,,4.00 GHz,,,,,8 GT/s DMI3,,,112 W,,,,Q2'17,,,,4.20 GHz,,,,,,,14 nm,,6 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ark.intel.com/products/121500/Intel-Core-i5-7640X-X-series-Processor-6M-Cache-up-to-4_20-GHz
PI0009,Intel® Core™ i7-6950X Processor Extreme Edition,,10,,3.00 GHz,,,,,,,,140 W,,,,Q2'16,,,,3.50 GHz,,,,,,,14 nm,,25 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ark.intel.com/products/94456/Intel-Core-i7-6950X-Processor-Extreme-Edition-25M-Cache-up-to-3_50-GHz
PI0010,Intel® Core™ i7-6900K Processor,,8,,3.20 GHz,,,,,,,,140 W,,,,Q2'16,,,,3.70 GHz,,,,,,,14 nm,,20 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ark.intel.com/products/94196/Intel-Core-i7-6900K-Processor-20M-Cache-up-to-3_70-GHz
PI0011,Intel® Core™ i7-6850K Processor,,6,,3.60 GHz,,,,,,,,140 W,,,,Q2'16,,,,3.80 GHz,,,,,,,14 nm,,15 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ark.intel.com/products/94188/Intel-Core-i7-6850K-Processor-15M-Cache-up-to-3_80-GHz
PI0012,Intel® Core™ i7-6800K Processor,,6,,3.40 GHz,,,,,,,,140 W,,,,Q2'16,,,,3.60 GHz,,,,,,,14 nm,,15 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ark.intel.com/products/94189/Intel-Core-i7-6800K-Processor-15M-Cache-up-to-3_60-GHz
PI0013,Intel® Core™ i7-5960X Processor Extreme Edition,,8,,3.00 GHz,,,,,0 GT/s,,,140 W,,,,Q3'14,,,,3.50 GHz,,,,,,,22 nm,,20 MB SmartCache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ark.intel.com/products/82930/Intel-Core-i7-5960X-Processor-Extreme-Edition-20M-Cache-up-to-3_50-GHz
PI0014,Intel® Core™ i7-5930K Processor,,6,,3.50 GHz,,,,,0 GT/s,,,140 W,,,,Q3'14,,,,3.70 GHz,,,,,,,22 nm,,15 MB SmartCache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ark.intel.com/products/82931/Intel-Core-i7-5930K-Processor-15M-Cache-up-to-3_70-GHz
PI0015,Intel® Core™ i7-5820K Processor,,6,,3.30 GHz,,,,,0 GT/s,,,140 W,,,,Q3'14,,,,3.60 GHz,,,,,,,22 nm,,15 MB SmartCache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ark.intel.com/products/82932/Intel-Core-i7-5820K-Processor-15M-Cache-up-to-3_60-GHz
PI0016,Intel® Core™ i7-4960X Processor Extreme Edition,,6,,3.60 GHz,,,,,5 GT/s DMI2,,,130 W,,,,Q3'13,,,,4.00 GHz,,,,,,,22 nm,,15 MB SmartCache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ark.intel.com/products/77779/Intel-Core-i7-4960X-Processor-Extreme-Edition-15M-Cache-up-to-4_00-GHz
PI0017,Intel® Core™ i7-4940MX Processor Extreme Edition,,4,,3.10 GHz,,,,,5 GT/s DMI2,,,57 W,,,,Q1'14,,,,4.00 GHz,,,,,,,22 nm,,8 MB SmartCache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ark.intel.com/products/78940/Intel-Core-i7-4940MX-Processor-Extreme-Edition-8M-Cache-up-to-4_00-GHz
PI0018,Intel® Core™ i7-4930K Processor,,6,,3.40 GHz,,,,,5 GT/s DMI2,,,130 W,,,,Q3'13,,,,3.90 GHz,,,,,,,22 nm,,12 MB SmartCache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ark.intel.com/products/77780/Intel-Core-i7-4930K-Processor-12M-Cache-up-to-3_90-GHz
PI0019,Intel® Core™ i7-4930MX Processor Extreme Edition,,4,,3.00 GHz,,,,,5 GT/s DMI2,,,57 W,,,,Q2'13,,,,3.90 GHz,,,,,,,22 nm,,8 MB SmartCache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ark.intel.com/products/75133/Intel-Core-i7-4930MX-Processor-Extreme-Edition-8M-Cache-up-to-3_90-GHz
PI0020,Intel® Core™ i7-4820K Processor,,4,,3.70 GHz,,,,,5 GT/s DMI2,,,130 W,,,,Q3'13,,,,3.90 GHz,,,,,,,22 nm,,10 MB SmartCache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ark.intel.com/products/77781/Intel-Core-i7-4820K-Processor-10M-Cache-up-to-3_90-GHz
PI0021,Intel® Core™ i7-3970X Processor Extreme Edition,,6,,3.50 GHz,,,,,5 GT/s DMI2,,,150 W,,,,Q4'12,,,,4.00 GHz,,,,,,,32 nm,,15 MB SmartCache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ark.intel.com/products/70845/Intel-Core-i7-3970X-Processor-Extreme-Edition-15M-Cache-up-to-4_00-GHz
PI0022,Intel® Core™ i7-3960X Processor Extreme Edition,,6,,3.30 GHz,,,,,5 GT/s DMI2,,,130 W,,,,Q4'11,,,,3.90 GHz,,,,,,,32 nm,,15 MB SmartCache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ark.intel.com/products/63696/Intel-Core-i7-3960X-Processor-Extreme-Edition-15M-Cache-up-to-3_90-GHz
